aer	39.4	38.82	38.6	38.59	39.24	40.69	39.53	42.0	42.37	43.74	45.16	43.85	43.96	43.46	44.49	44.24	44.59	44.53	46.75	46.08	46.44	46.91	49.18	49.07	48.99	47.96	48.62	49.93	47.95	47.3	47.08	47.7	45.79	45.11	46.89	47.15	46.02	46.19	46.8	48.22	47.27	44.75	40.84	40.49	42.36	41.76	42.41	41.4	38.24	41.67	43.24	39.31	40.37	40.42	41.46	41.22	40.53	42.83	43.72	45.28	42.12	39.52	40.14	43.15	43.16	37.9	36.1	31.4	31.76	31.04	27.84	26.34	32.0	34.15	36.68	37.76	37.61	38.41	38.07	39.11	37.16	38.21	39.73	40.6	42.19	39.5	40.01	36.61	36.61	39.0	38.82	40.0	36.78	36.98	38.34	33.22	32.74	36.28	37.8	35.74	36.41	36.25	38.22	38.41	39.15	39.06	39.97	40.32	39.6	38.64	37.67	37.76	39.93	40.56	39.16	40.72	40.91	40.53	41.98	43.46	44.34	44.29	43.22	44.03	43.5	42.47	42.2	41.61	43.6	42.86	41.68	43.81	44.27	44.93	46.3	46.79	45.68	46.09	45.02	44.86	45.46	44.78	45.54	45.45	44.24	43.72	43.83	45.61	46.26	46.02	45.03	44.49	44.95	44.99	44.76	45.66	46.25	45.64	46.84	46.58	47.5	48.27	49.4	49.04	49.45	49.95	48.55	47.87	49.11	50.3	48.56	49.44	50.02	49.78	51.11	52.0	52.0	52.43	52.55	52.43	53.01	51.98
aeri	29.49	29.19	31.06	29.81	29.82	30.03	27.96	24.53	27.27	28.82	28.79	28.93	28.29	28.94	29.75	31.08	31.27	31.16	32.3	34.33	34.42	11.0	10.92	11.19	11.25	10.92	10.89	12.33	12.65	13.03	20.03	18.8	17.65	17.99	18.68	18.74	19.22	18.6	18.15	16.25	15.37	15.63	15.96	15.2	16.44	17.64	27.87	22.52	17.74	18.9	18.72	21.22	20.51	22.98	23.55	25.35	25.53	24.76	27.63	25.96	24.98	22.73	23.27	23.56	24.32	20.28	17.71	18.76	18.85	16.39	15.22	13.92	17.39	16.69	16.76	14.86	13.5	11.09	11.82	12.14	12.96	14.61	15.15	16.0	15.97	15.86	14.51	12.93	14.65	16.64	17.72	19.92	18.35	17.99	18.18	17.98	17.39	17.69	17.62	18.14	17.54	18.03	18.49	19.43	19.15	18.92	19.36	20.33	19.65	34.12	39.07	37.7	39.26	39.74	37.19	35.91	33.28	33.6	34.5	39.75	40.7	40.35	36.8	39.45	38.5	38.8	38.65	37.85	39.05	41.6	41.1	41.15	43.9	43.75	46.25	45.0	44.25	47.9	49.95	48.9	47.45	45.6	45.25	44.65	42.9	43.0	41.2	44.5	39.5	39.85	40.35	41.05	54.25	55.9	53.4	51.35	51.4	54.8	53.55	54.95	56.75	54.5	57.6	55.5	53.7	51.9	52.4	51.25	53.5	57.35	58.7	55.75	58.6	52.4	48.6	54.5	64.3	64.6	63.3	63.3	63.7	63.825
aes	12.300999999999998	12.264000000000001	11.606	11.597999999999999	11.661	11.339	10.972000000000001	11.376	10.712	10.622	10.883	11.36	10.982000000000001	10.864	11.35	11.395	11.439	11.97	11.853	11.923	12.175999999999998	12.022	12.341	12.359000000000002	12.25	12.331	12.16	12.169	11.834000000000001	12.079	12.53	12.341	11.995999999999999	11.98	11.806	11.953	11.707	11.607999999999999	11.454	11.562999999999999	11.683	11.225	10.623	10.432	10.322000000000001	10.094	9.976	9.119	8.9268	9.538	9.767999999999999	9.831	10.068	10.141	10.057	9.1094	9.0171	8.8058	9.091000000000001	8.8335	8.4653	8.1249	8.3365	8.815	8.8058	8.2813	7.95	7.9317	8.318	8.8104	9.0806	8.3819	9.0341	9.341000000000001	9.4255	10.142999999999999	10.161	10.739	10.524000000000001	10.823	10.31	10.262	10.478	10.347000000000001	10.599	10.467	10.495	10.495	10.1	10.315999999999999	10.289000000000001	10.825	10.505	10.919	11.378	11.314	11.501	11.735999999999999	11.82	11.895999999999999	11.623	11.767000000000001	11.453	11.470999999999998	11.595	11.491	11.453	12.363	11.757	12.052	12.583	12.24	11.254000000000001	10.931	11.110999999999999	11.405999999999999	11.216	10.975999999999999	11.904000000000002	10.747	10.919	11.139000000000001	10.565	11.129000000000001	11.675999999999998	11.34	11.235	11.129000000000001	11.321	11.091	11.235	10.89	11.073	10.929	11.238	11.277000000000001	11.373	10.985999999999999	10.967	10.667	11.093	10.822000000000001	10.89	10.909	10.793	11.064	11.015999999999998	11.044	10.946	11.093	11.152000000000001	10.956	11.524000000000001	11.69	11.318	11.67	11.65	11.308	10.917	10.447000000000001	10.857999999999999	10.995	11.073	10.741	10.995999999999999	11.124	10.975999999999999	11.105	11.302	10.917	11.025	11.105	11.203	11.085	10.897	11.164000000000001	11.144	11.065	11.005999999999998	10.66	10.79	10.51
aet	86.86	86.12299999999999	86.76299999999999	87.822	89.427	91.624	89.27	93.90700000000001	93.78200000000001	94.198	97.39	97.705	97.87200000000001	99.291	104.49	105.72	105.56	104.83	105.15	106.63	105.19	107.57	106.39	106.46	108.65	111.48	112.27	114.34	113.05	112.92	121.33	124.25	124.2	112.39	111.11	110.28	109.43	109.97	112.5	114.36	117.84	115.76	112.72	108.94	115.37	113.67	113.44	113.72	106.85	106.27	108.05	110.6	101.16	108.76	109.44	105.71	100.04	97.775	101.74	104.66	101.73	103.57	106.18	107.32	105.83	107.94	102.91	102.08	103.01	101.42	97.352	95.978	102.42	104.63	108.46	107.64	111.34	108.47	109.64	112.04	109.02	106.22	107.99	111.22	111.91	112.18	112.04	106.12	107.9	111.8	113.39	119.59	117.2	119.1	119.01	119.18	118.25	113.84	116.65	118.73	114.12	115.17	117.82	117.45	118.35	115.82	115.42	114.78	112.34	113.18	113.96	113.38	113.33	110.69	107.16	109.88	109.47	104.4	111.38	122.46	123.35	127.98	133.24	127.06	126.43	122.58	124.39	122.49	122.74	121.38	121.3	117.91	117.39	119.55	120.44	128.16	128.4	128.71	129.25	131.26	130.44	126.52	124.43	126.54	127.97	128.48	130.33	133.12	138.06	141.49	141.3	140.45	144.3	146.7	148.61	147.82	150.76	151.12	150.81	151.35	154.1	152.82	155.58	154.79	158.03	155.08	155.26	154.24	155.6	157.19	159.74	161.78	155.54	151.49	158.5	160.77	156.3	155.9	161.47	173.12	172.32	175.44
aeti	5.87	5.98	5.88	5.9	6.26	5.9	5.53	5.8	5.25	4.1	4.5001	4.1101	3.74	4.74	4.18	4.2	3.7	3.57	3.44	3.54	3.54	4.21	4.091	5.3	6.08	5.53	5.53	5.51	5.48	5.5	5.54	5.5	4.74	5.16	5.23	5.5	4.42	4.44	4.29	4.55	4.3	4.6	4.68	3.8	3.94	3.75	3.22	2.97	2.73	2.84	2.33	2.6	2.82	3.0	3.17	3.22	3.16	3.39	3.31	2.65	2.42	2.35	2.0	2.45	2.2	2.1	2.1	3.5499	2.64	2.75	2.64	2.62	2.55	2.6	2.35	2.6	2.98	2.72	2.85	2.504	2.36	2.0	1.85	1.86	2.22	2.205	2.43	2.42	2.72	2.37	2.36	2.21	2.63	2.39	2.49	2.5501	2.51	2.6	2.64	2.56	2.48	2.56	2.55	2.62	2.66	3.258	3.09	2.6489999999999996	2.58	2.62	2.74	2.55	2.41	2.53	2.4	2.4	2.45	1.9001	1.95	1.85	1.6	1.6	1.6	1.7	1.7	1.7	1.6	1.55	1.55	1.65	1.55	1.75	1.75	1.85	1.85	1.85	1.85	1.95	1.9499	2.0	2.025	1.9	1.95	2.149	1.85	1.7	1.7	1.65	1.6154	1.605	1.9	1.9	1.7	1.7074	1.5001	1.548	1.5	1.5	1.5	1.77	1.702	1.75	1.95	1.95	2.0	1.85	1.7	1.8	1.55	1.599	1.4501	1.45	1.45	1.5	1.65	1.55	1.645	1.625	1.6	1.575	1.551	1.5
aey	2.54	2.49	2.44	2.399	2.41	2.3671	2.35	2.3101	2.31	2.4699	2.39	2.41	2.42	2.35	2.3	2.33	2.37	2.36	2.34	2.46	2.41	2.39	2.46	2.39	2.34	2.31	2.38	2.35	2.35	2.35	2.36	2.34	2.38	2.3	2.28	2.25	2.3	2.27	2.28	2.21	2.4	2.34	2.27	2.3	2.39	2.372	2.3	2.3	2.3	2.24	2.23	2.28	2.26	2.29	2.31	2.3	2.3	2.28	2.22	2.34	2.27	2.17	1.82	1.8	1.8099	1.7301	1.72	1.75	1.77	1.75	1.78	1.6	1.68	1.65	1.6	1.71	1.84	1.95	1.97	1.9	1.89	1.8497	1.8789	1.89	1.87	1.81	1.75	1.7	1.81	1.68	1.7396	1.79	1.81	1.8392	1.7973	1.79	1.8	1.8215	1.91	1.83	1.96	1.9201	1.84	1.78	1.8194	1.81	2.06	1.93	1.86	1.7	1.81	1.74	1.7309999999999999	1.8199	1.76	1.89	1.87	1.7226	1.79	1.79	1.7480000000000002	1.85	1.76	1.7	1.62	1.67	1.67	1.77	1.7397	1.78	1.79	1.76	1.78	1.81	1.9	1.8	1.79	1.81	1.79	1.88	1.94	1.93	1.88	1.84	1.87	1.8	1.79	1.8	1.79	1.78	1.75	1.72	1.6501	1.68	1.65	1.64	1.65	1.61	1.61	1.58	1.57	1.541	1.5	1.59	1.55	1.51	1.43	1.4	1.47	1.45	1.47	1.43	1.45	1.42	1.38	1.45	1.52	1.52	1.49	1.4799	1.4301	1.4
aezs	58.7	60.0	60.0	58.5	56.13	54.0	53.0	54.0	54.0	67.0	63.0	64.0	54.0	53.0	55.0	58.0	53.0	54.0	52.0	61.0	60.0	59.0	55.0	51.0	44.0	29.5	28.0	30.0	30.0	28.0	29.0	27.0	28.1	25.0	24.0	22.0	20.0	19.0	18.0	16.0	14.0	11.0	8.0	9.0	8.0	5.0	12.0	8.5	9.0	9.0	7.82	6.0	6.0	5.0	6.3	5.98	5.0	4.0	11.43	8.85	7.1	4.83	4.58	4.95	4.48	3.29	2.77	3.01	3.66	3.13	3.09	2.85	3.11	3.15	3.08	3.97	3.76	3.59	3.43	3.18	3.36	3.61	4.24	4.07	4.06	3.73	3.48	3.33	3.31	3.56	3.39	3.65	3.5	3.57	3.48	3.27	3.35	3.62	3.52	3.44	3.35	3.43	3.6099	3.61	3.68	3.62	3.61	3.73	3.43	3.36	3.46	3.42	3.4	3.47	4.06	4.92	3.79	3.7	3.3	3.45	3.5	3.4	3.4	3.5	3.8	3.8	4.1	3.6	2.75	2.45	2.75	2.6	3.15	2.85	3.05	3.35	3.15	3.0	3.1	3.0	3.0	2.75	2.9	3.05	2.95	3.0	2.95	3.05	0.99	0.8392	0.85	0.86	0.96	1.07	1.09	1.03	0.9602	0.965	0.97	1.0001	1.01	1.02	2.3	2.18	1.79	1.8	2.07	1.92	1.94	1.95	1.87	1.98	2.1	2.23	2.03	2.05	2.2	2.07	2.0	1.88	1.87	1.9
afam	29.53	28.95	28.68	30.19	31.24	31.14	30.36	30.21	30.3	30.8	29.59	37.28	36.58	37.34	38.62	42.05	42.16	47.08	42.2	43.84	44.6	45.55	43.26	38.5	37.88	39.32	38.22	38.56	37.06	40.0	41.96	38.89	39.91	39.56	43.07	43.97	43.88	41.97	48.01	49.74	48.29	47.06	45.24	43.99	45.32	45.83	45.2	45.9	40.05	37.75	40.29	40.86	38.03	41.48	41.88	43.74	41.34	39.47	42.05	42.23	39.86	38.38	39.59	38.99	38.23	39.94	38.34	38.38	38.93	38.96	35.59	35.33	37.19	38.57	39.08	37.16	37.29	35.19	35.07	36.91	36.78	36.75	38.94	41.42	43.3	42.13	41.95	40.29	42.27	42.69	42.65	42.46	41.71	42.54	43.0	42.74	44.17	44.0	42.36	42.28	40.0	40.67	39.64	39.74	37.64	36.68	36.83	35.99	36.04	35.44	36.7	35.92	37.67	37.01	38.75	41.4	39.55	40.2	40.15	43.05	41.45	41.65	40.8	39.85	40.65	43.95	44.85	44.1	45.8	46.3	46.15	47.45	47.25	47.75	47.4	48.4	49.2	49.75	48.1	48.75	48.55	47.75	48.9	47.85	47.3	47.05	47.4	49.5	49.65	49.65	56.3	56.15	57.8	58.7	60.45	61.1	60.8	62.0	61.1	60.5	57.95	57.55	56.85	49.75	47.2	47.2	48.15	48.65	46.7	48.7	49.5	48.35	45.9	48.3	53.7	51.9	46.8	47.15	46.9	46.55	51.3	53.95
afb	11.743	11.853	12.047	12.09	12.165	12.234000000000002	12.449000000000002	12.472000000000001	12.245	11.907	12.027999999999999	12.02	11.807	11.789000000000001	11.824000000000002	11.824000000000002	11.849	11.842	11.761	11.854000000000001	11.811	11.83	11.769	11.87	11.87	11.835	11.878	11.905999999999999	11.67	11.717	11.84	11.947000000000001	11.717	11.84	11.722000000000001	11.757	11.765999999999998	11.88	11.943	11.743	11.955	11.914000000000001	11.727	11.669	11.901	11.794	11.962	11.962	11.962	12.056	12.106	12.149000000000001	12.229000000000001	12.202	12.402999999999999	11.98	12.127	12.152999999999999	12.302	12.322000000000001	12.265999999999998	12.154000000000002	12.559000000000001	12.474	12.612	12.815999999999999	12.732999999999999	12.648	12.869000000000002	12.953	13.036	13.036	12.899000000000001	12.955	12.964	13.085999999999999	13.022	13.123	13.392999999999999	13.353	13.440999999999999	13.57	13.693	13.685	13.802999999999999	13.952	13.927999999999999	13.869000000000002	13.627	13.767000000000001	13.78	13.94	13.947000000000001	14.004000000000001	14.106	14.163	14.187000000000001	13.999	13.950999999999999	14.027999999999999	14.008	14.004000000000001	13.975	13.939	13.994000000000002	13.985	14.033	14.110999999999999	13.792	13.865	13.895	14.017999999999999	13.841	13.87	13.168	13.584000000000001	13.216	13.382	13.315	12.494000000000002	12.684000000000001	12.523	12.305	12.671	12.825	12.681	12.547	12.681	12.831	12.965	12.879000000000001	12.936	13.159	13.173	13.134	12.95	13.008	12.962	12.748	12.574000000000002	12.593	12.787	12.875	12.970999999999998	13.187000000000001	13.255999999999998	13.227	13.227	13.277000000000001	13.102	13.200999999999999	13.248	13.277000000000001	13.482999999999999	13.544	13.387	13.446	13.475	13.387	13.347000000000001	13.455	13.603	13.673	13.859000000000002	13.919	13.73	13.74	13.82	13.889000000000001	13.939	13.979000000000001	13.998	13.869000000000002	13.889000000000001	13.859000000000002	13.819	13.799000000000001	13.809000000000001	13.869000000000002	13.58	13.56	13.59
afc	20.671	21.019000000000002	20.91	21.093000000000004	21.252	21.36	21.218000000000004	21.377	21.135	21.11	21.019000000000002	21.268	21.201999999999998	21.276999999999997	21.419	21.851	21.293000000000003	21.495	21.613000000000003	21.554000000000002	21.561999999999998	21.554000000000002	21.369	21.319000000000003	21.673000000000002	21.319000000000003	21.487	21.429000000000002	21.572	21.554000000000002	21.531	21.480999999999998	21.504	21.635	21.666999999999998	21.901	22.245	21.962	21.823	21.798000000000002	21.831	21.874000000000002	21.771	22.014	21.953000000000003	21.91	22.014	22.098000000000003	21.873	22.090999999999998	22.17	22.548000000000002	22.573	22.511999999999997	22.486	22.468000000000004	22.381	22.241	22.293000000000003	22.476999999999997	22.45	22.293000000000003	22.389	22.616999999999997	22.557	22.557	22.458000000000002	22.511999999999997	22.414	22.623	22.673000000000002	22.423000000000002	22.309	22.467	22.611	22.726	22.912	22.673000000000002	22.752	22.831999999999997	22.969	22.941	23.249000000000002	23.239	23.266	23.283	23.283	23.22	23.166	23.148000000000003	23.329	23.329	23.357	23.311999999999998	23.361	23.401	23.401	23.576	23.631	23.715	23.76	23.778000000000002	23.791	23.77	23.741999999999997	23.685	23.77	23.916999999999998	23.750999999999998	23.853	23.862	24.178	24.184	24.086	23.813000000000002	23.945	24.245	23.878	23.776999999999997	23.711	23.756999999999998	23.785999999999998	23.739	23.691999999999997	23.879	23.833000000000002	23.925	24.039	24.048000000000002	24.386	24.315	24.063000000000002	24.183000000000003	24.429000000000002	24.372	24.465999999999998	24.276999999999997	24.405	24.486	24.523000000000003	24.496	24.538	24.750999999999998	25.063000000000002	24.906999999999996	24.843000000000004	25.054000000000002	24.840999999999998	24.656999999999996	24.715	24.793000000000003	24.705	24.715	25.015	24.909000000000002	24.873	24.996	25.237	25.482	25.295	25.768	25.776999999999997	25.473000000000003	25.345	25.414	25.345	25.531999999999996	25.345	25.404	25.404	25.423000000000002	25.374000000000002	25.61	25.723000000000003	25.69	25.41	25.52	25.7	25.9834	25.83	25.6499	25.7504
